2.856253	4.235905	174
\	861.423218	3183.520752
12.148398	13.871099	173
\	1029.962524	3520.599365
19.591063	21.418170	173
\	1086.142334	3520.599365
27.115761	27.951010	90
\	1067.415649	3314.606934
37.026885	38.100776	172
\	1123.595581	3670.412109
45.543441	47.116991	173
\	1086.142334	3333.333496
51.531878	52.419330	113
\	1161.048706	3632.958740
59.951486	61.562323	173
\	1086.142334	3426.966309
77.118835	78.244930	90
\	1310.861450	3220.973877
82.749308	84.173706	173
\	1198.501831	3576.779053
90.326209	91.176373	177
\	1048.689087	3071.160889
96.351934	96.941083	17
\	898.876404	3033.707764
97.261759	98.246159	172
\	1029.962524	3932.584229
114.183008	115.025714	177
\	973.782776	3258.427002
125.757172	126.666997	177
\	1123.595581	3127.341064
