0.074901	0.872377	412
\	1276.276245	3723.723633
1.475991	2.075200	158
\	1516.516479	3633.633545
8.234711	9.023375	412
\	1156.156128	3528.528564
9.604959	10.177732	158
\	1426.426514	3768.768799
13.442537	14.213577	412
\	1261.261230	3513.513428
20.399524	20.998732	158
\	1471.471436	3633.633545
22.082594	23.007843	412
\	1366.366333	3933.934082
27.211114	27.819134	158
\	1441.441528	3558.558594
29.118888	29.881116	412
\	1396.396484	3618.618652
36.410726	37.203796	412
\	1291.291260	3633.633545
40.693305	41.424691	90
\	1396.396484	3843.843994
48.474203	49.020540	413
\	1336.336304	3918.918945
53.818614	54.629307	241
\	1351.351318	3813.813965
